file,read_count
../results/simdir/Listeria_monocytogenes_SLCC2540_uid51731/51731_2.fq.gz,24762
../results/simdir/Bacillus_thuringiensis_YBT_1518_uid63189/63189_2.fq.gz,56122
../results/simdir/Bacillus_thuringiensis_YBT_1518_uid63189/63189_1.fq.gz,51094
../results/simdir/Salmonella_enterica_serovar_Thompson_RM6836_uid70669/70669_2.fq.gz,39391
../results/simdir/Salmonella_enterica_serovar_Thompson_RM6836_uid70669/70669_1.fq.gz,36233
../results/simdir/Escherichia_coli_O157H7_EDL933_uid259/259_1.fq.gz,42857
../results/simdir/Escherichia_coli_O157H7_EDL933_uid259/259_2.fq.gz,46095
../results/simdir/Staphylococcus_aureus_SA957_uid167119/167119_2.fq.gz,23484
../results/simdir/Staphylococcus_aureus_SA957_uid167119/167119_1.fq.gz,21118
../results/simdir/Yersinia_pestis_biovar_Medievalis_Harbin_35_uid30505/30505_2.fq.gz,38874
../results/simdir/Yersinia_pestis_biovar_Medievalis_Harbin_35_uid30505/30505_1.fq.gz,36062
../results/simdir/Escherichia_coli_55989_uid33413/33413_2.fq.gz,42042
../results/simdir/Escherichia_coli_55989_uid33413/33413_1.fq.gz,38823
../results/simdir/Escherichia_coli_O157_H7_TW14359_uid30045/30045_1.fq.gz,43121
../results/simdir/Escherichia_coli_O157_H7_TW14359_uid30045/30045_2.fq.gz,46855
../results/simdir/Pseudomonas_aeruginosa_LESB58_uid31101/31101_1.fq.gz,48650
../results/simdir/Pseudomonas_aeruginosa_LESB58_uid31101/31101_2.fq.gz,55873
../results/simdir/Francisella_tularensis_holarctica_FSC200_uid16087/16087_1.fq.gz,14488
../results/simdir/Francisella_tularensis_holarctica_FSC200_uid16087/16087_2.fq.gz,15791
../results/simdir/Escherichia_coli__BL21_Gold_DE3_pLysS_AG__uid30681/30681_2.fq.gz,38031
../results/simdir/Escherichia_coli__BL21_Gold_DE3_pLysS_AG__uid30681/30681_1.fq.gz,35299
